date,open,high,low,close,volume
2022-01-03,99.67,101.11,98.57,100.0,707835
2022-01-04,100.18,101.01,90.8,91.23,1514518
2022-01-05,90.97,93.74,90.46,93.23,669679
2022-01-06,93.38,93.57,92.24,92.4,1148138
2022-01-07,91.69,92.68,91.16,91.87,1443849
2022-01-10,91.01,91.14,86.89,87.0,1266005
2022-01-11,87.11,92.15,86.75,91.67,1334140
2022-01-12,91.48,93.58,89.72,91.6,984933
2022-01-13,90.44,93.88,89.88,92.79,714370
2022-01-14,93.54,95.79,92.27,94.2,1174442
2022-01-17,93.46,97.48,93.13,97.03,1239102
2022-01-18,98.53,98.87,95.73,96.02,1479347
2022-01-19,95.66,97.88,94.27,95.94,548265
2022-01-20,96.17,97.54,95.19,96.28,996736
2022-01-21,97.23,99.78,96.59,98.6,940824
2022-01-24,99.47,99.88,97.87,98.11,1396117
2022-01-25,99.28,100.67,97.2,98.01,1517642
2022-01-26,97.12,98.19,94.5,95.38,1302672
2022-01-27,94.73,94.99,92.5,92.72,1070140
2022-01-28,92.85,96.82,92.13,95.91,579992
2022-01-31,96.39,104.36,94.3,101.38,1269508
2022-02-01,101.37,102.69,98.96,100.05,1551266
2022-02-02,99.07,101.86,98.78,101.42,918899
2022-02-03,101.72,102.37,96.48,97.08,841371
2022-02-04,96.96,99.15,93.72,95.66,942270
2022-02-07,95.54,97.11,93.06,94.14,1057979
2022-02-08,92.85,100.58,91.96,99.32,680298
2022-02-09,99.79,101.38,99.16,100.49,1115580
2022-02-10,100.57,100.71,95.36,95.46,1349442
2022-02-11,96.49,96.73,87.83,87.99,1159595
2022-02-14,87.95,88.55,84.13,84.7,567703
2022-02-15,84.98,86.7,83.96,85.24,743550
2022-02-16,85.66,87.57,84.84,86.24,1411731
2022-02-17,85.34,90.27,84.11,88.57,1297412
2022-02-18,89.96,90.51,82.42,82.73,1198475
2022-02-21,82.51,84.92,82.2,84.42,917489
2022-02-22,84.67,84.77,84.45,84.51,1111830
2022-02-23,84.84,86.4,84.45,85.96,1252815
2022-02-24,85.54,89.91,84.17,88.02,1479213
2022-02-25,88.99,96.96,88.21,95.45,1788311
2022-02-28,95.6,101.43,94.32,99.14,809494
2022-03-01,99.01,99.65,98.92,99.5,689974
2022-03-02,99.58,101.5,99.32,101.02,628992
2022-03-03,101.48,103.15,96.4,97.57,1097822
2022-03-04,97.57,98.3,93.29,93.9,578080
2022-03-07,94.4,95.75,86.54,87.57,1039620
2022-03-08,86.69,87.11,82.96,83.28,702621
2022-03-09,82.9,85.25,82.87,85.2,743948
2022-03-10,84.11,84.2,82.34,82.43,696162
2022-03-11,83.42,84.53,82.75,83.86,887975
2022-03-14,84.85,88.87,84.31,87.8,819148
2022-03-15,88.13,88.65,87.99,88.49,620424
2022-03-16,87.95,90.55,87.81,90.4,1534152
2022-03-17,91.7,92.24,87.0,87.5,1335011
2022-03-18,87.18,87.3,87.06,87.16,849225
2022-03-21,87.05,92.09,86.84,91.78,1577864
2022-03-22,91.87,92.85,87.1,88.08,1413994
2022-03-23,88.32,91.34,88.19,91.11,1256095
2022-03-24,91.46,94.76,91.03,94.28,1553665
2022-03-25,94.67,96.03,93.86,95.17,830198
2022-03-28,95.09,95.22,91.87,91.99,964049
2022-03-29,92.36,93.53,91.76,92.62,1139733
2022-03-30,92.52,93.75,91.51,92.5,1064036
2022-03-31,92.82,94.21,92.17,93.39,1064888
2022-04-01,93.67,96.84,92.19,94.8,532979
2022-04-04,95.23,96.34,92.43,93.35,1335584
2022-04-05,93.7,93.99,91.58,91.8,1107249
2022-04-06,91.55,93.05,90.45,91.55,894516
2022-04-07,91.8,91.95,89.69,89.81,1329862
2022-04-08,90.16,90.32,89.96,90.11,932561
2022-04-11,89.41,91.57,87.86,89.93,581202
2022-04-12,89.78,94.81,89.7,94.69,805632
2022-04-13,95.04,95.39,92.52,92.78,745279
2022-04-14,93.73,94.09,91.08,91.36,1261347
