date,action,conviction,confidence,position_pct,rationale
2023-07-03,sell,high,0.930390399487887,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.55) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.913, risk-adjusted: -0.73"
2023-07-04,sell,moderate,0.5727333446219227,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.47) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.466, risk-adjusted: -0.37"
2023-07-05,sell,moderate,0.5727333446219227,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.47) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.466, risk-adjusted: -0.373"
2023-07-06,sell,high,0.9274474035158033,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.50) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.909, risk-adjusted: -0.727"
2023-07-07,sell,high,0.9281682626890091,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.51) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.910, risk-adjusted: -0.728"
2023-07-10,sell,moderate,0.5694908102986104,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.48) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.462, risk-adjusted: -0.369"
2023-07-11,sell,moderate,0.5694908102986104,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.48) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.462, risk-adjusted: -0.369"
2023-07-12,sell,high,0.9290607073220898,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.53) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.911, risk-adjusted: -0.72"
2023-07-13,sell,high,0.9290607073220898,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.53) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.911, risk-adjusted: -0.72"
2023-07-14,sell,high,0.9290607073220898,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.53) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.911, risk-adjusted: -0.729"
2023-07-17,sell,high,0.9290607073220898,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.53) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.911, risk-adjusted: -0.729"
2023-07-18,sell,moderate,0.5694908102986104,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.48) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.462, risk-adjusted: -0.36"
2023-07-19,sell,high,0.9292874829631526,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.53) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=proceed) | Weighted score: -0.912, risk-adjusted: -0.729"
2023-07-20,sell,high,0.9324499869038869,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.58) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.916, risk-adjusted: -0.73"
2023-07-21,sell,high,0.9324499869038869,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.58) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.916, risk-adjusted: -0.73"
2023-07-24,sell,high,0.9292874829631526,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (bearish, conf=0.53) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.912, risk-adjusted: -0.72"
2023-07-25,sell,moderate,0.5642066747915166,0.06,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.50) | Event context (neutral, conf=0.10) | Risk level: moderate (rec=reduce_size) | Weighted score: -0.455, risk-adjusted: -0.36"
2023-07-26,sell,moderate,0.670702868939486,0.1,"Chart analysis (bearish, conf=0.50) | Pattern analysis (neutral, conf=0.46) | Event context (neutral, conf=0.10) | Risk level: low (rec=reduce_size) | Weighted score: -0.471, risk-adjusted: -0.471"
